Arrival_Date,State,District,Market,Commodity,Variety,Min_Price, Max_Price,Modal_Price,Year,Month,Month_Name,Season,Price_Spread,Price_Position_Index,Profit_Opportunity_Indicator,National_Commodity_Average,Relative_Market_Advantage
1/10/2020,Maharashtra,Pune,APMC Pune,Cotton,Hybrid,5420.00,6457.00,6086.00,2020,1,January,Rabi,1037.00,0.64,High,5789.811921,296.19
3/3/2023,West Bengal,Kolkata,Kolkata Market,Cotton,Grade A,5494.00,5972.00,5630.00,2023,3,March,Summer,478.00,0.28,High,5789.811921,-159.81
8/1/2024,Maharashtra,Pune,APMC Pune,Soyabean,Faq,5166.00,5823.00,5495.00,2024,8,August,Kharif,657.00,0.5,High,4476.642473,1018.36
11/22/2019,Rajasthan,Jaipur,Jaipur Mandi,Tomato,Hybrid,2683.00,3713.00,3073.00,2019,11,November,Rabi,1030.00,0.38,Normal,2353.777929,719.22
5/11/2018,Punjab,Ludhiana,Ludhiana Market,Tomato,Hybrid,3452.00,4291.00,3866.00,2018,5,May,Summer,839.00,0.49,High,2353.777929,1512.22
9/13/2023,Uttar Pradesh,Lucknow,Lucknow Mandi,Cotton,Grade A,4601.00,5166.00,4820.00,2023,9,September,Kharif,565.00,0.39,High,5789.811921,-969.81
7/7/2020,Uttar Pradesh,Lucknow,Lucknow Mandi,Soyabean,Standard,5086.00,5364.00,5168.00,2020,7,July,Kharif,278.00,0.29,High,4476.642473,691.36
3/5/2021,Tamil Nadu,Coimbatore,Coimbatore Mandi,Onion,Grade A,1387.00,1501.00,1444.00,2021,3,March,Summer,114.00,0.5,Normal,2967.977922,-1523.98
4/3/2023,Tamil Nadu,Coimbatore,Coimbatore Mandi,Soyabean,Hybrid,4775.00,5318.00,4895.00,2023,4,April,Summer,543.00,0.22,High,4476.642473,418.36
3/2/2021,Karnataka,Mysuru,Mysuru Yard,Tomato,Faq,1214.00,1664.00,1413.00,2021,3,March,Summer,450.00,0.44,Normal,2353.777929,-940.78
7/3/2021,Karnataka,Mysuru,Mysuru Yard,Rice,Grade A,3411.00,3796.00,3604.00,2021,7,July,Kharif,385.00,0.5,High,3493.108757,110.89
4/19/2020,Karnataka,Mysuru,Mysuru Yard,Soyabean,Hybrid,3696.00,4196.00,3807.00,2020,4,April,Summer,500.00,0.22,High,4476.642473,-669.64
7/28/2019,Bihar,Patna,Patna Bazaar,Maize,Faq,1355.00,1811.00,1473.00,2019,7,July,Kharif,456.00,0.26,Normal,1970.373775,-497.37
10/1/2023,Rajasthan,Jaipur,Jaipur Mandi,Maize,Faq,1866.00,2234.00,1948.00,2023,10,October,Rabi,368.00,0.22,Normal,1970.373775,-22.37
6/5/2026,Bihar,Patna,Patna Bazaar,Potato,Unknown,819.00,1226.00,1023.00,2026,6,June,Kharif,407.00,0.5,Normal,1290.850866,-267.85
8/4/2022,Karnataka,Mysuru,Mysuru Yard,Onion,Unknown,1225.00,1848.00,1388.00,2022,8,August,Kharif,623.00,0.26,Normal,2967.977922,-1579.98
4/3/2026,Rajasthan,Jaipur,Jaipur Mandi,Tomato,Grade A,3178.00,3741.00,3460.00,2026,4,April,Summer,563.00,0.5,High,2353.777929,1106.22
11/10/2024,Maharashtra,Pune,APMC Pune,Tomato,Grade A,1231.00,1781.00,1545.00,2024,11,November,Rabi,550.00,0.57,Normal,2353.777929,-808.78
2/3/2019,Uttar Pradesh,Lucknow,Lucknow Mandi,Onion,Unknown,1571.00,2393.00,2283.00,2019,2,February,Summer,822.00,0.87,Normal,2967.977922,-684.98
3/3/2021,Bihar,Patna,Patna Bazaar,Potato,Premium,1223.00,1812.00,1518.00,2021,3,March,Summer,589.00,0.5,Normal,1290.850866,227.15
11/8/2025,Maharashtra,Pune,APMC Pune,Maize,Grade A,2062.00,2465.00,2187.00,2025,11,November,Rabi,403.00,0.31,Normal,1970.373775,216.63
9/8/2024,Punjab,Ludhiana,Ludhiana Market,Rice,Grade A,4387.00,4601.00,4408.00,2024,9,September,Kharif,214.00,0.1,High,3493.108757,914.89
5/2/2020,Karnataka,Mysuru,Mysuru Yard,Soyabean,Local,3903.00,4218.00,3952.00,2020,5,May,Summer,315.00,0.16,High,4476.642473,-524.64
6/11/2024,Uttar Pradesh,Lucknow,Lucknow Mandi,Cotton,Unknown,5830.00,6907.00,6369.00,2024,6,June,Kharif,1077.00,0.5,High,5789.811921,579.19
6/8/2020,Uttar Pradesh,Lucknow,Lucknow Mandi,Tomato,Local,2762.00,2974.00,2868.00,2020,6,June,Kharif,212.00,0.5,Normal,2353.777929,514.22
9/8/2025,West Bengal,Kolkata,Kolkata Market,Potato,Unknown,1325.00,1655.00,1486.00,2025,9,September,Kharif,330.00,0.49,Normal,1290.850866,195.15
8/24/2022,Maharashtra,Pune,APMC Pune,Tomato,Faq,2142.00,3111.00,2781.00,2022,8,August,Kharif,969.00,0.66,Normal,2353.777929,427.22
7/29/2021,Punjab,Ludhiana,Ludhiana Market,Cotton,Grade A,6173.00,7264.00,7155.00,2021,7,July,Kharif,1091.00,0.9,High,5789.811921,1365.19
8/7/2020,Punjab,Ludhiana,Ludhiana Market,Wheat,Grade A,2043.00,2242.00,2143.00,2020,8,August,Kharif,199.00,0.5,Normal,2364.839335,-221.84
5/7/2026,Maharashtra,Pune,APMC Pune,Tomato,Unknown,2859.00,3750.00,3356.00,2026,5,May,Summer,891.00,0.56,High,2353.777929,1002.22
5/7/2021,Uttar Pradesh,Lucknow,Lucknow Mandi,Onion,Grade A,1529.00,2031.00,1780.00,2021,5,May,Summer,502.00,0.5,Normal,2967.977922,-1187.98
5/12/2024,Bihar,Patna,Patna Bazaar,Cotton,Faq,5294.00,5667.00,5367.00,2024,5,May,Summer,373.00,0.2,High,5789.811921,-422.81
12/1/2020,Bihar,Patna,Patna Bazaar,Maize,Standard,1226.00,1370.00,1292.00,2020,12,December,Rabi,144.00,0.46,Normal,1970.373775,-678.37
11/4/2019,Karnataka,Mysuru,Mysuru Yard,Maize,Grade A,2349.00,2706.00,2528.00,2019,11,November,Rabi,357.00,0.5,Normal,1970.373775,557.63
3/5/2024,Uttar Pradesh,Lucknow,Lucknow Mandi,Soyabean,Unknown,4979.00,5123.00,5000.00,2024,3,March,Summer,144.00,0.15,High,4476.642473,523.36
11/18/2018,Uttar Pradesh,Lucknow,Lucknow Mandi,Maize,Grade A,2217.00,2509.00,2369.00,2018,11,November,Rabi,292.00,0.52,Normal,1970.373775,398.63
12/6/2024,Punjab,Ludhiana,Ludhiana Market,Soyabean,Standard,5123.00,5681.00,5599.00,2024,12,December,Rabi,558.00,0.85,High,4476.642473,1122.36
6/6/2025,Karnataka,Mysuru,Mysuru Yard,Soyabean,Faq,5299.00,6184.00,5801.00,2025,6,June,Kharif,885.00,0.57,High,4476.642473,1324.36
8/29/2021,Rajasthan,Jaipur,Jaipur Mandi,Maize,Unknown,1375.00,1666.00,1415.00,2021,8,August,Kharif,291.00,0.14,Normal,1970.373775,-555.37
4/30/2024,Punjab,Ludhiana,Ludhiana Market,Maize,Hybrid,2169.00,2523.00,2346.00,2024,4,April,Summer,354.00,0.5,Normal,1970.373775,375.63
4/15/2021,Tamil Nadu,Coimbatore,Coimbatore Mandi,Potato,Unknown,975.00,1305.00,1138.00,2021,4,April,Summer,330.00,0.49,Normal,1290.850866,-152.85
8/2/2018,Karnataka,Mysuru,Mysuru Yard,Wheat,Premium,1987.00,2177.00,1990.00,2018,8,August,Kharif,190.00,0.02,Normal,2364.839335,-374.84
12/8/2022,Maharashtra,Pune,APMC Pune,Cotton,Local,5294.00,6251.00,5773.00,2022,12,December,Rabi,957.00,0.5,High,5789.811921,-16.81
8/27/2020,Punjab,Ludhiana,Ludhiana Market,Onion,Grade A,3426.00,3893.00,3570.00,2020,8,August,Kharif,467.00,0.31,High,2967.977922,602.02
1/4/2022,West Bengal,Kolkata,Kolkata Market,Soyabean,Premium,4148.00,4437.00,4421.00,2022,1,January,Rabi,289.00,0.94,High,4476.642473,-55.64
7/22/2023,Uttar Pradesh,Lucknow,Lucknow Mandi,Wheat,Unknown,2231.00,2353.00,2325.00,2023,7,July,Kharif,122.00,0.77,Normal,2364.839335,-39.84
11/3/2021,Tamil Nadu,Coimbatore,Coimbatore Mandi,Potato,Premium,642.00,1011.00,948.00,2021,11,November,Rabi,369.00,0.83,Normal,1290.850866,-342.85
3/17/2019,Punjab,Ludhiana,Ludhiana Market,Soyabean,Local,3609.00,4048.00,3829.00,2019,3,March,Summer,439.00,0.5,High,4476.642473,-647.64
2/20/2022,Maharashtra,Pune,APMC Pune,Tomato,Premium,3352.00,4435.00,3412.00,2022,2,February,Summer,1083.00,0.06,High,2353.777929,1058.22
7/5/2019,West Bengal,Kolkata,Kolkata Market,Tomato,Local,1569.00,1767.00,1668.00,2019,7,July,Kharif,198.00,0.5,Normal,2353.777929,-685.78
9/12/2024,Tamil Nadu,Coimbatore,Coimbatore Mandi,Cotton,Premium,6285.00,6487.00,6392.00,2024,9,September,Kharif,202.00,0.53,High,5789.811921,602.19
12/5/2023,Karnataka,Mysuru,Mysuru Yard,Wheat,Hybrid,2793.00,3339.00,3281.00,2023,12,December,Rabi,546.00,0.89,High,2364.839335,916.16
3/20/2018,Maharashtra,Pune,APMC Pune,Tomato,Hybrid,963.00,1990.00,1145.00,2018,3,March,Summer,1027.00,0.18,Normal,2353.777929,-1208.78
1/11/2022,Uttar Pradesh,Lucknow,Lucknow Mandi,Rice,Grade A,3810.00,4607.00,4209.00,2022,1,January,Rabi,797.00,0.5,High,3493.108757,715.89
11/7/2019,Tamil Nadu,Coimbatore,Coimbatore Mandi,Maize,Grade A,2241.00,2754.00,2613.00,2019,11,November,Rabi,513.00,0.73,Normal,1970.373775,642.63
8/13/2018,West Bengal,Kolkata,Kolkata Market,Wheat,Standard,2240.00,2642.00,2441.00,2018,8,August,Kharif,402.00,0.5,Normal,2364.839335,76.16
12/10/2019,Rajasthan,Jaipur,Jaipur Mandi,Soyabean,Local,3860.00,4038.00,3890.00,2019,12,December,Rabi,178.00,0.17,High,4476.642473,-586.64
7/5/2020,Uttar Pradesh,Lucknow,Lucknow Mandi,Onion,Unknown,3959.00,4348.00,4077.00,2020,7,July,Kharif,389.00,0.3,High,2967.977922,1109.02
11/5/2019,Karnataka,Mysuru,Mysuru Yard,Potato,Grade A,1061.00,1182.00,1161.00,2019,11,November,Rabi,121.00,0.83,Normal,1290.850866,-129.85
8/20/2021,Karnataka,Mysuru,Mysuru Yard,Tomato,Standard,2604.00,3590.00,3097.00,2021,8,August,Kharif,986.00,0.5,High,2353.777929,743.22
10/10/2019,Rajasthan,Jaipur,Jaipur Mandi,Onion,Grade A,2984.00,3113.00,3010.00,2019,10,October,Rabi,129.00,0.2,Normal,2967.977922,42.02
5/11/2021,Punjab,Ludhiana,Ludhiana Market,Wheat,Grade A,2408.00,2615.00,2512.00,2021,5,May,Summer,207.00,0.5,Normal,2364.839335,147.16
5/7/2026,Uttar Pradesh,Lucknow,Lucknow Mandi,Cotton,Grade A,6131.00,6275.00,6203.00,2026,5,May,Summer,144.00,0.5,High,5789.811921,413.19
4/11/2021,Bihar,Patna,Patna Bazaar,Onion,Standard,1251.00,2544.00,1935.00,2021,4,April,Summer,1293.00,0.53,Normal,2967.977922,-1032.98
3/4/2020,Maharashtra,Pune,APMC Pune,Wheat,Unknown,1864.00,2068.00,2050.00,2020,3,March,Summer,204.00,0.91,Normal,2364.839335,-314.84
3/10/2025,Rajasthan,Jaipur,Jaipur Mandi,Wheat,Grade A,2734.00,2855.00,2773.00,2025,3,March,Summer,121.00,0.32,Normal,2364.839335,408.16
7/4/2024,Karnataka,Mysuru,Mysuru Yard,Tomato,Grade A,1709.00,2605.00,1781.00,2024,7,July,Kharif,896.00,0.08,Normal,2353.777929,-572.78
12/7/2022,Bihar,Patna,Patna Bazaar,Cotton,Local,4192.00,5067.00,4232.00,2022,12,December,Rabi,875.00,0.05,High,5789.811921,-1557.81
2/1/2024,Punjab,Ludhiana,Ludhiana Market,Soyabean,Grade A,4614.00,5408.00,5011.00,2024,2,February,Summer,794.00,0.5,High,4476.642473,534.36
