Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,,,
01/10/2020,Maharashtra,Coimbatore,Coimbatore Mandi,Cotton,Hybrid,1425,2114,1987,,,
03/03/2023,West Bengal,Jaipur,Patna Bazaar,Cotton,Grade A,2218,2633,2509,,,
08/01/2024,Maharashtra,Jaipur,Kolkata Market,Soyabean,Faq,1869,2204,2036.5,,,
11/22/2019,Rajasthan,Kolkata,Coimbatore Mandi,Tomato,Hybrid,949,1052,1046,,,
05/11/2018,Punjab,Pune,Patna Bazaar,Tomato,Hybrid,2623,2789,2751,,,
09/13/2023,Uttar Pradesh,Pune,Lucknow Mandi,Cotton,Grade A,1174,1596,1222,,,
07/07/2020,Uttar Pradesh,Lucknow,APMC Pune,Soyabean,Standard,1986,2743,2335,,,
03/05/2021,Tamil Nadu,Pune,Lucknow Mandi,Onion,Grade A,1709,2358,2033.5,,,
04/03/2023,Tamil Nadu,Mysuru,Mysuru Yard,Soyabean,Hybrid,2243,2790,2319,,,
03/02/2021,Karnataka,Kolkata,Mysuru Yard,Tomato,Faq,2690,2967,2882,,,
07/03/2021,Karnataka,Kolkata,Mysuru Yard,Rice,Grade A,2939,3255,3097,,,
04/19/2020,Karnataka,Ludhiana,Kolkata Market,Soyabean,Hybrid,2948,3594,3086,,,
07/28/2019,Bihar,Jaipur,APMC Pune,Maize,Faq,1403,1758,1412,,,
10/01/2023,Rajasthan,Ludhiana,APMC Pune,Maize,Faq,2353,2459,2379,,,
06/05/2026,Bihar,Mysuru,Kolkata Market,Potato,Unknown,2472,3259,2865.5,,,
08/04/2022,Karnataka,Ludhiana,Kolkata Market,Onion,Unknown,2635,2826,2807,,,
04/03/2026,Rajasthan,Pune,Jaipur Mandi,Tomato,Grade A,2579,3083,2831,,,
11/10/2024,Maharashtra,Coimbatore,Lucknow Mandi,Tomato,Grade A,2444,2795,2549,,,
02/03/2019,Uttar Pradesh,Ludhiana,Jaipur Mandi,Onion,Unknown,2670,2833,2737,,,
03/03/2021,Bihar,Kolkata,Kolkata Market,Potato,Premium,1245,1354,1299.5,,,
11/08/2025,Maharashtra,Jaipur,Patna Bazaar,Maize,Grade A,1930,2094,2010,,,
09/08/2024,Punjab,Pune,Mysuru Yard,Rice,Grade A,2923,3460,3021,,,
05/02/2020,Karnataka,Mysuru,Coimbatore Mandi,Soyabean,Local,1040,1551,1490,,,
06/11/2024,Uttar Pradesh,Jaipur,APMC Pune,Cotton,Unknown,1853,2404,2128.5,,,
06/08/2020,Uttar Pradesh,Lucknow,Ludhiana Market,Tomato,Local,840,1220,1030,,,
09/08/2025,West Bengal,Kolkata,Jaipur Mandi,Potato,Unknown,2813,3545,2902,,,
08/24/2022,Maharashtra,Ludhiana,Lucknow Mandi,Tomato,Faq,2288,3050,2682,,,
07/29/2021,Punjab,Mysuru,Patna Bazaar,Cotton,Grade A,1931,2731,2656,,,
08/07/2020,Punjab,Patna,Jaipur Mandi,Wheat,Grade A,1191,1786,1488.5,,,
05/07/2026,Maharashtra,Coimbatore,Lucknow Mandi,Tomato,Unknown,2850,3397,3237,,,
05/07/2021,Uttar Pradesh,Lucknow,Patna Bazaar,Onion,Grade A,2099,2737,2418,,,
05/12/2024,Bihar,Lucknow,APMC Pune,Cotton,Faq,2616,2806,2704,,,
12/01/2020,Bihar,Mysuru,Lucknow Mandi,Maize,Standard,2678,3237,2940,,,
11/04/2019,Karnataka,Patna,Mysuru Yard,Maize,Grade A,2909,3656,3282.5,,,
03/05/2024,Uttar Pradesh,Lucknow,APMC Pune,Soyabean,Unknown,2163,2704,2569,,,
11/18/2018,Uttar Pradesh,Coimbatore,Lucknow Mandi,Maize,Grade A,1809,1989,1875,,,
12/06/2024,Punjab,Mysuru,Ludhiana Market,Soyabean,Standard,2977,3333,3180,,,
06/06/2025,Karnataka,Lucknow,Patna Bazaar,Soyabean,Faq,2677,2840,2821,,,
08/29/2021,Rajasthan,Mysuru,Patna Bazaar,Maize,Unknown,1489,2217,1737,,,
04/30/2024,Punjab,Coimbatore,Jaipur Mandi,Maize,Hybrid,2503,2863,2683,,,
04/15/2021,Tamil Nadu,Mysuru,Lucknow Mandi,Potato,Unknown,1826,2577,2084,,,
08/02/2018,Karnataka,Patna,Ludhiana Market,Wheat,Premium,1325,1700,1625,,,
12/08/2022,Maharashtra,Pune,Coimbatore Mandi,Cotton,Local,1509,1888,1698.5,,,
08/27/2020,Punjab,Lucknow,Coimbatore Mandi,Onion,Grade A,2210,2926,2360,,,
01/04/2022,West Bengal,Pune,Kolkata Market,Soyabean,Premium,1944,2047,2034,,,
07/22/2023,Uttar Pradesh,Pune,Lucknow Mandi,Wheat,Unknown,1151,1299,1207,,,
11/03/2021,Tamil Nadu,Patna,Lucknow Mandi,Potato,Premium,2962,3523,3316,,,
03/17/2019,Punjab,Coimbatore,Patna Bazaar,Soyabean,Local,1776,2428,2102,,,
02/20/2022,Maharashtra,Pune,Jaipur Mandi,Tomato,Premium,2945,3248,2954,,,
07/05/2019,West Bengal,Jaipur,Ludhiana Market,Tomato,Local,2148,2725,2436.5,,,
09/12/2024,Tamil Nadu,Kolkata,APMC Pune,Cotton,Premium,1307,1591,1419,,,
12/05/2023,Karnataka,Mysuru,Kolkata Market,Wheat,Hybrid,2355,2683,2530,,,
03/20/2018,Maharashtra,Kolkata,Lucknow Mandi,Tomato,Hybrid,2732,3044,2741,,,
01/11/2022,Uttar Pradesh,Coimbatore,Ludhiana Market,Rice,Grade A,1954,2278,2116,,,
