Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price
1/10/2020,Maharashtra,Coimbatore,Coimbatore Mandi,Cotton,Hybrid,1425,2114,1987
3/3/2023,West Bengal,Jaipur,Patna Bazaar,Cotton,Grade A,2218,2633,2509
20/01/2023,Maharashtra,Jaipur,Kolkata Market,Soyabean,FAQ,1869,2204,
11/22/2019,Rajasthan,Kolkata,Coimbatore Mandi,Tomato,Hybrid,949,1052,1046
5/11/2018,Punjab,Pune,Patna Bazaar,Tomato,Hybrid,2623,2789,2751
9/13/2023,Uttar Pradesh,Pune,Lucknow Mandi,Cotton,grade a,1174,1596,1222
7/7/2020,Uttar Pradesh,Lucknow,APMC Pune,Soyabean,Standard,1986,2743,2335
27-05-2019,Tamil Nadu,Pune,Lucknow Mandi,Onion,Grade A,1709,2358,
28/03/2021,Tamil Nadu,Mysuru,Mysuru Yard,Soyabean,Hybrid,2243,2790,2319
27/02/2019,Karnataka,Kolkata,Mysuru Yard,Tomato,FAQ,2690,2967,2882
19-03-2020,Karnataka,Kolkata,Mysuru Yard,Rice,grade a,2939,3255,
4/19/2020,Karnataka,Ludhiana,Kolkata Market,Soyabean,Hybrid,2948,3594,3086
7/28/2019,Bihar,Jaipur,APMC Pune,Maize,FAQ,1403,1758,1412
22/01/2022,Rajasthan,Ludhiana,APMC Pune,Maize,FAQ,2353,2459,2379
30/05/2024,Bihar,Mysuru,Kolkata Market,Potato,,2472,3259,
20/04/2021,Karnataka,Ludhiana,Kolkata Market,Onion,,2635,2826,2807
28/03/2024,Rajasthan,Pune,Jaipur Mandi,Tomato,grade a,2579,3083,
23/10/2023,Maharashtra,Coimbatore,Lucknow Mandi,Tomato,Grade A,2444,2795,2549
2/3/2019,Uttar Pradesh,Ludhiana,Jaipur Mandi,Onion,,2670,2833,2737
3/3/2021,Bihar,Kolkata,Kolkata Market,Potato,Premium,1245,1354,
23-08-2024,Maharashtra,Jaipur,Patna Bazaar,Maize,Grade A,1930,2094,2010
9/8/2024,Punjab,Pune,Mysuru Yard,Rice,Grade A,2923,3460,3021
5/2/2020,Karnataka,Mysuru,Coimbatore Mandi,Soyabean,Local,1040,1551,1490
6/11/2024,Uttar Pradesh,Jaipur,APMC Pune,Cotton,,1853,2404,
6/8/2020,Uttar Pradesh,Lucknow,Ludhiana Market,Tomato,Local,840,1220,
21/08/2024,West Bengal,Kolkata,Jaipur Mandi,Potato,,2813,3545,2902
8/24/2022,Maharashtra,Ludhiana,Lucknow Mandi,Tomato,FAQ,2288,3050,2682
7/29/2021,Punjab,Mysuru,Patna Bazaar,Cotton,Grade A,1931,2731,2656
8/7/2020,Punjab,Patna,Jaipur Mandi,Wheat,grade a,1191,1786,
29-07-2024,Maharashtra,Coimbatore,Lucknow Mandi,Tomato,,2850,3397,3237
5/7/2021,Uttar Pradesh,Lucknow,Patna Bazaar,Onion,Grade A,2099,2737,
17/12/2023,Bihar,Lucknow,APMC Pune,Cotton,FAQ,2616,2806,2704
12/1/2020,Bihar,Mysuru,Lucknow Mandi,Maize,Standard,2678,3237,2940
11/4/2019,Karnataka,Patna,Mysuru Yard,Maize,grade a,2909,3656,
27-05-2022,Uttar Pradesh,Lucknow,APMC Pune,Soyabean,,2163,2704,2569
11/18/2018,Uttar Pradesh,Coimbatore,Lucknow Mandi,Maize,Grade A,1809,1989,1875
24-06-2023,Punjab,Mysuru,Ludhiana Market,Soyabean,Standard,2977,3333,3180
30/06/2023,Karnataka,Lucknow,Patna Bazaar,Soyabean,FAQ,2677,2840,2821
8/29/2021,Rajasthan,Mysuru,Patna Bazaar,Maize,,1489,2217,1737
4/30/2024,Punjab,Coimbatore,Jaipur Mandi,Maize,Hybrid,2503,2863,
4/15/2021,Tamil Nadu,Mysuru,Lucknow Mandi,Potato,,1826,2577,2084
